pair,label,outer_fold,inner_fold,fit_triples,heldout_triples,fit_rows,heldout_rows,anchor,random_state,n_iter,fit_triple_sha256,heldout_triple_sha256,disjoint
mkgw_mhyper_adamf,W-A,1,3,2276,1147,10940,6882,1.0,20261005,5,808cfa05adbf3cca43c98317f15bf33ebd59f558ff0144282ee31bfb9f422dea,addec87342914710312f9627f0c5b10e53f6abf704b13738ad2de72b5a3c9860,True
mkgw_mhyper_adamf,W-A,2,1,2282,1134,10943,6804,1.0,20261103,6,8e511fb822dab4ce484a9aac519e7f301a365ef8159daadcde1f1144ecaf1732,f358c0f633aab2c46e0794700fec56ff1747fe247242c0276cd25ff9558342a8,True
mkgw_mhyper_adamf,W-A,2,2,2279,1137,11016,6822,1.0,20261104,6,a94dcd0b7350d2cde9d69283535f1d0937f2ab51204670fe08a69dcdb30a0ef8,6f26fd5eb6af76884d3490b48b297ef3bbe4d4e35203e6e3777f9ea60c8f3822,True
mkgw_mhyper_adamf,W-A,2,3,2271,1145,10857,6870,1.0,20261105,6,2b321f082a3abf97efdb8593a88afef022f844b14e04fbf9e8303e7e83993aef,720a4d6941598d5b831fc56a854be3e4ac6ea26c42d5600f2017d35087bcbac5,True
mkgw_mhyper_adamf,W-A,3,1,2285,1134,11019,6804,1.0,20261203,5,301080104021e48cb82491d1b619ae888567e7222f5a7ba5a9a7a75022141344,dcde37f97828aca2366b848064a1dbf72b50086243249423b6d92de4750f912e,True
mkgw_mhyper_adamf,W-A,3,2,2279,1140,11004,6840,1.0,20261204,5,ef73c9803594ddbc442e9229b9d2e70112f8e709c07f7d10d4ab13df55d0eadb,647fc0f8c5255d93fda3a6dd47dcee802f083052b612b72d43f1077811cbc564,True
mkgw_mhyper_adamf,W-A,3,3,2274,1145,11007,6870,1.0,20261205,5,d11a586f6d4984369608113d084b78dbdfb4661b8e45f031963d4973e44491a2,decc010915c370025096b1c4b6dd9bf2c2dba8b7fe6be8076cd5946e8736629b,True
mkgw_mhyper_adamf,W-A,4,1,2287,1130,11002,6780,1.0,20261303,6,e3bfb6bfc3be3046826832a68a168451abd9f06fdca39777100d42bc383a72a0,b01ffbefbb83a7fd878e7af42de76db37aee93a290d08c4b73307803b8ec6bc8,True
mkgw_mhyper_adamf,W-A,4,2,2279,1138,10968,6828,1.0,20261304,6,ca90b1c943233ab3c0e3c3b1c8a38d4803def301a9895a4fc769b8a7e45d642e,d4628049e22c3855d8ca90f5ceed49b600e3b2ec11cd3494fb0e2683d755fd49,True
mkgw_mhyper_adamf,W-A,4,3,2268,1149,10882,6894,1.0,20261305,5,3d10ef868d5a65cf142023040350be989e27844cee940ec0602297fd87ab60a9,d0a4aad8e0fd11de4007c12e5d7da02075c86a7ae0c73eeb29b5d498b4d35c56,True
mkgw_mhyper_adamf,W-A,5,1,2290,1139,10918,6834,1.0,20261403,5,13290f16a9ba30e18391c9629b9e96f29a46a75e50d8944b8e0308b1ea74d32c,16c4add520157c29464826c0f16c1291d69a900a6a2fd314b19fd1076bbe540f,True
mkgw_mhyper_adamf,W-A,5,2,2289,1140,11025,6840,1.0,20261404,5,23a943b4a0b0beb564933d0a4ac40ae96659e12be7bfe5fe322c1ff7071b01c0,b692ab77fb817c2b43b0c8066af100cbef55ca4f6148be365216c8f6c7cfca74,True
mkgw_mhyper_adamf,W-A,5,3,2279,1150,10959,6900,1.0,20261405,4,cd297aa26c323d6cb5e1163adf23aeb29b03a615915a3b018f16ad4687eb846e,62f705efd2fa707d694d53d8481c620f4a7458fde6a8ab1149a4d32c670d075a,True
mkgw_mhyper_adamf,W-A,0,1,2855,1421,13712,8526,1.0,20260903,5,7c5f2f6810b485850ea51c66cb5f220a2bc42ffbb19dd291a4f395f22e5b2fab,37587b5a753c69569b7cea9b1b608e5be957f5e90db6ccf7b5dd2c64a84b60cf,True
mkgw_mhyper_adamf,W-A,0,2,2855,1421,13752,8526,1.0,20260904,5,3b3e03a6030485385eda61da06eb7a8abc5519164275e7481b23f325e8c54c68,60db2eb04ab9c98ae8ea5289fdd36680ccad67b97fb197dd50691e97073b5908,True
mkgw_mhyper_adamf,W-A,0,3,2842,1434,13664,8604,1.0,20260905,6,7ab600a48dcef1b9a4ee9b9fd1115d18c6bbd14c78d5beec076c35cc6a79a2b1,da04a47e67fbda4b3eb453f97262bb8857bbcc5eebdf92d7b105c38ec013ec8f,True
